date,opponent,tournament,japan_score,opponent_score,result,venue,manager,scorers,notes
1966-12-16,Singapore,Asian Games,5,1,W,"Bangkok, Thailand",,,
1966-12-17,Thailand,Asian Games,5,1,W,"Bangkok, Thailand",,,
1966-12-18,Iran,Asian Games,0,1,L,"Bangkok, Thailand",,,
1966-12-19,Singapore,Asian Games,2,0,W,"Bangkok, Thailand",,,
1967-07-28,Peru,Friendly,0,1,L,"Lima, Peru",,,
1967-07-30,Peru,Friendly,0,0,D,"Lima, Peru",,,
1967-08-01,South Korea,AFC Asian Cup qualification,2,1,W,"Taipei, Taiwan",,,
1967-08-03,Philippines,AFC Asian Cup qualification,2,0,W,"Taipei, Taiwan",,,
1967-08-05,Indonesia,AFC Asian Cup qualification,2,1,W,"Taipei, Taiwan",,,
1968-03-26,Mexico,Friendly,0,4,L,"Mexico City, Mexico",,,
1968-03-30,Australia,Friendly,2,2,D,"Sydney, Australia",,,
1968-03-31,Australia,Friendly,1,3,L,"Melbourne, Australia",,,
1968-04-04,Australia,Friendly,3,1,W,"Adelaide, Australia",,,
1969-10-10,Australia,FIFA World Cup qualification,1,3,L,"Seoul, South Korea",,,
1969-10-12,South Korea,FIFA World Cup qualification,2,2,D,"Seoul, South Korea",,,
1969-10-16,Australia,FIFA World Cup qualification,1,1,D,"Seoul, South Korea",,,
1969-10-18,South Korea,FIFA World Cup qualification,0,2,L,"Seoul, South Korea",,,
1970-07-31,Hong Kong,Merdeka Tournament,1,2,L,"Kuala Lumpur, Malaysia",,,
1970-08-02,South Korea,Merdeka Tournament,1,1,D,"Kuala Lumpur, Malaysia",,,
1970-08-04,Thailand,Merdeka Tournament,0,0,D,"Kuala Lumpur, Malaysia",,,
